Symbol,Token,,,,NIFTY 50,,,,,
BALUFORGE,23607,,,,,,,,,
BALRAMCHIN,341,,,,,,,,,
BALPHARMA,13441,,,,,,,,,
BALMLAWRIE,338,,,,,,,,,
BALKRISIND,335,,,,,,,,,
BALKRISHNA,10181,,,,,,,,,
BALAXI,11309,,,,,,,,,
BALAMINES,14501,,,,,,,,,
BALAJITELE,9158,,,,,,,,,
BAJFINANCE,317,,,,,,,,,
BAJEL,20531,,,,,,,,,
BAJAJHLDNG,305,,,,,,,,,
BAJAJHIND,308,,,,,,,,,
ARE&M,100,,,,,,,,,
BGRENERGY,15193,,,,,,,,,
ARCHIES,6400,,,,,,,,,
ARABIAN,19253,,,,,,,,,
AEROFLEX,18268,,,,,,,,,
AEGISCHEM,40,,,,,,,,,
ADVENZYMES,18039,,,,,,,,,
ADVANIHOTR,14745,,,,,,,,,
ADSL,14813,,,,,,,,,
ADROITINFO,4953,,,,,,,,,
AETHER,9810,,,,,,,,,
ADORWELD,34,,,,,,,,,
ADFFOODS,19761,,,,,,,,,
ADANIPOWER,17388,,,,,,,,,
ADANIPORTS,15083,,,,,,,,,
ADANIGREEN,3563,,,,,,,,,
ADANIENT,25,,,,,,,,,
ADANIENSOL,10217,,,,,,,,,
ADL,245,,,,,,,,,
ACSAL,19579,,,,,,,,,
AFFLE,11343,,,,,,,,,
AGARWALFT,14267,,,,,,,,,
AILIMITED,4654,,,,,,,,,
AIIL,23553,,,,,,,,,
AIAENG,13086,,,,,,,,,
AHLUCONT,17833,,,,,,,,,
AHLEAST,19438,,,,,,,,,
AHLADA,2004,,,,,,,,,
AGARIND,3389,,,,,,,,,
AHL,13288,,,,,,,,,
AGUL,15147,,,,,,,,,
AGSTRA,7927,,,,,,,,,
AGROPHOS,9046,,,,,,,,,
AGRITECH,11072,,,,,,,,,
AGNI,10491,,,,,,,,,
AGI,1412,,,,,,,,,
AHIMSA,10770,,,,,,,,,
AIRAN,9897,,,,,,,,,
ACLGATI,13688,,,,,,,,,
ACI,12024,,,,,,,,,
AAVAS,5385,,,,,,,,,
AATMAJ,16961,,,,,,,,,
AARVI,19073,,,,,,,,,
AARVEEDEN,13771,,,,,,,,,
AARTISURF,19233,,,,,,,,,
AARTIPHARM,13868,,,,,,,,,
ABAN,7759,,,,,,,,,
AARTIIND,7,,,,,,,,,
AARTECH,17164,,,,,,,,,
AARON,1030,,,,,,,,,
AAREYDRUGS,5248,,,,,,,,,
AAKASH,235,,,,,,,,,
AADHARHFC,23729,,,,,,,,,
AAATECH,12542,,,,,,,,,
AARTIDRUGS,4481,,,,,,,,,
ACL,15420,,,,,,,,,
ABB,13,,,,,,,,,
ABCAPITAL,21614,,,,,,,,,
ACEINTEG,11779,,,,,,,,,
ACE,13587,,,,,,,,,
ACCURACY,1465,,,,,,,,,
ACCORD,21217,,,,,,,,,
ACCENTMIC,20488,,,,,,,,,
ACCELYA,7053,,,,,,,,,
ABBOTINDIA,17903,,,,,,,,,
ACC,22,,,,,,,,,
ABSLAMC,6018,,,,,,,,,
ABNINT,8588,,,,,,,,,
ABMINTLLTD,5549,,,,,,,,,
ABINFRA,11022,,,,,,,,,
ABFRL,30108,,,,,,,,,
ABCOTS,7787,,,,,,,,,
ABSMARINE,23786,,,,,,,,,
AIROLAM,6068,,,,,,,,,
AIRTELPP,6435,,,,,,,,,
AISL,483,,,,,,,,,
ANMOL,3727,,,,,,,,,
ANLON,13657,,,,,,,,,
ANKITMETAL,29434,,,,,,,,,
ANIKINDS,16657,,,,,,,,,
ANGELONE,324,,,,,,,,,
ANDHRSUGAR,136,,,,,,,,,
ANNAPURNA,11198,,,,,,,,,
ANDHRAPAP,166,,,,,,,,,
ANANDRATHI,7145,,,,,,,,,
AMRUTANJAN,17547,,,,,,,,,
AMNPLST,19867,,,,,,,,,
AMJLAND,2598,,,,,,,,,
AMIORG,5578,,,,,,,,,
AMIABLE,11939,,,,,,,,,
ANANTRAJ,13620,,,,,,,,,
AMEYA,10898,,,,,,,,,
ANTGRAPHIC,8285,,,,,,,,,
ANURAS,2829,,,,,,,,,
APTUS,5435,,,,,,,,,
APTECHT,10755,,,,,,,,,
APS,21451,,,,,,,,,
APOLSINHOT,6302,,,,,,,,,
APOLLOTYRE,163,,,,,,,,,
APOLLOPIPE,14361,,,,,,,,,
ANUP,9014,,,,,,,,,
APOLLOHOSP,157,,,,,,,,,
APLLTD,25328,,,,,,,,,
APLAPOLLO,25780,,,,,,,,,
APEX,21623,,,,,,,,,
APCOTEXIND,154,,,,,,,,,
APCL,20453,,,,,,,,,
APARINDS,11491,,,,,,,,,
APOLLO,1134,,,,,,,,,
AMDIND,14398,,,,,,,,,
AMBUJACEM,1270,,,,,,,,,
ALBERTDAVD,17256,,,,,,,,,
ALANKIT,9921,,,,,,,,,
AKZOINDIA,1467,,,,,,,,,
AKSHOPTFBR,8595,,,,,,,,,
AKSHARCHEM,20178,,,,,,,,,
AKSHAR,9560,,,,,,,,,
ALEMBICLTD,79,,,,,,,,,
AKI,14890,,,,,,,,,
AKASH,13510,,,,,,,,,
AKANKSHA,21121,,,,,,,,,
AJOONI-RE1,23770,,,,,,,,,
AJOONI,3403,,,,,,,,,
AJMERA,17307,,,,,,,,,
AJANTPHARM,8124,,,,,,,,,
AKG,2176,,,,,,,,,
ALICON,13656,,,,,,,,,
ALKALI,16959,,,,,,,,,
ALKEM,11703,,,,,,,,,
AMBIKCO,15234,,,,,,,,,
AMBICAAGAR,11496,,,,,,,,,
AMBER,1185,,,,,,,,,
AMBANIORG,4083,,,,,,,,,
ALUWIND,23474,,,,,,,,,
ALPSINDUS,7623,,,,,,,,,
ALPHAGEO,14597,,,,,,,,,
ALPEXSOLAR,22688,,,,,,,,,
ALPA,14848,,,,,,,,,
ALOKINDS,17675,,,,,,,,,
ALMONDZ,16723,,,,,,,,,
ALLSEC,11798,,,,,,,,,
ALLETEC,13203,,,,,,,,,
ALLCARGO,13501,,,,,,,,,
ALKYLAMINE,4487,,,,,,,,,
ARCHIDPLY,16799,,,,,,,,,
BHAGCHEM,6164,,,,,,,,,
BHAGERIA,13400,,,,,,,,,
BHAGYANGR,20776,,,,,,,,,
DEEPAKFERT,827,,,,,,,,,
DEEM,22799,,,,,,,,,
DECCANCE,14838,,,,,,,,,
DCXINDIA,11895,,,,,,,,,
DCW,817,,,,,,,,,
DCMSRIND,7325,,,,,,,,,
DEEPAKNTR,19943,,,,,,,,,
DCMSHRIRAM,811,,,,,,,,,
DCMFINSERV,8704,,,,,,,,,
DCM,805,,,,,,,,,
DCI,11568,,,,,,,,,
DCG,23520,,,,,,,,,
DCBBANK,13725,,,,,,,,,
DCAL,21704,,,,,,,,,
DCMNVL,11039,,,,,,,,,
DBSTOCKBRO,31107,,,,,,,,,
DEEPENR,18244,,,,,,,,,
DELAPLEX,22527,,,,,,,,,
DHANI,15384,,,,,,,,,
DHANBANK,11360,,,,,,,,,
DHAMPURSUG,857,,,,,,,,,
DEVYANI,5373,,,,,,,,,
DEVIT,8146,,,,,,,,,
DESTINY,6092,,,,,,,,,
DEEPINDS,3292,,,,,,,,,
DENTALKART,16454,,,,,,,,,
DENEERS,15449,,,,,,,,,
DEN,17722,,,,,,,,,
DELTAMAGNT,1214,,,,,,,,,
DELTACORP,15044,,,,,,,,,
DELPHIFX,24391,,,,,,,,,
DELHIVERY,9599,,,,,,,,,
DENORA,4279,,,,,,,,,
DHANUKA,24409,,,,,,,,,
DBREALTY,18124,,,,,,,,,
DBL,18086,,,,,,,,,
CSLFINANCE,10350,,,,,,,,,
CSBBANK,14966,,,,,,,,,
CROWN,8097,,,,,,,,,
CROMPTON,17094,,,,,,,,,
CRISIL,757,,,,,,,,,
CREST,13900,,,,,,,,,
CTE,14222,,,,,,,,,
CREDITACC,4421,,,,,,,,,
CREATIVE,11155,,,,,,,,,
CRAYONS,16419,,,,,,,,,
CRAFTSMAN,2854,,,,,,,,,
CPS,18380,,,,,,,,,
COUNCODOS,16986,,,,,,,,,
COSMOFIRST,742,,,,,,,,,
CREATIVEYE,9388,,,,,,,,,
DBOL,10893,,,,,,,,,
CUB,5701,,,,,,,,,
CUMMINSIND,1901,,,,,,,,,
DBCORP,17881,,,,,,,,,
DAVANGERE,21794,,,,,,,,,
DATAPATTNS,7358,,,,,,,,,
DATAMATICS,11423,,,,,,,,,
DANGEE,1110,,,,,,,,,
DAMODARIND,17541,,,,,,,,,
CUBEXTUB,9881,,,,,,,,,
DALMIASUG,781,,,,,,,,,
DABUR,772,,,,,,,,,
CYIENTDLM,17187,,,,,,,,,
CYIENT,5748,,,,,,,,,
CYBERTECH,6051,,,,,,,,,
CYBERMEDIA,11845,,,,,,,,,
CUPID,18524,,,,,,,,,
DALBHARAT,8075,,,,,,,,,
DHARMAJ,13001,,,,,,,,,
DHRUV,6860,,,,,,,,,
DHTL,22533,,,,,,,,,
DYNPRO,21314,,,,,,,,,
DYNAMIC,6079,,,,,,,,,
DYNAMATECH,4525,,,,,,,,,
DYCL,10417,,,,,,,,,
DWARKESH,11667,,,,,,,,,
DVL,15214,,,,,,,,,
E2E,8940,,,,,,,,,
DUGLOBAL,5457,,,,,,,,,
DUCOL,13766,,,,,,,,,
DTIL,6227,,,,,,,,,
DSSL,25690,,,,,,,,,
DRSDILIP,6686,,,,,,,,,
DRSCARGO,23488,,,,,,,,,
DRREDDY,881,,,,,,,,,
DUCON,28956,,,,,,,,,
DRONE,17372,,,,,,,,,
EASEMYTRIP,2792,,,,,,,,,
EDELWEISS,15119,,,,,,,,,
ELECTHERM,14902,,,,,,,,,
ELECTCAST,928,,,,,,,,,
ELECON,13643,,,,,,,,,
ELDEHSG,8953,,,,,,,,,
EKC,13091,,,,,,,,,
EIMCOELECO,4040,,,,,,,,,
ECLERX,15179,,,,,,,,,
EIHOTEL,919,,,,,,,,,
EIFFL,6040,,,,,,,,,
EIDPARRY,916,,,,,,,,,
EICHERMOT,910,,,,,,,,,
EFORCE,20899,,,,,,,,,
EFACTOR,19267,,,,,,,,,
EDUCOMP,21747,,,,,,,,,
EIHAHOTELS,15399,,,,,,,,,
DRL,18769,,,,,,,,,
DREDGECORP,11271,,,,,,,,,
DREAMFOLKS,10859,,,,,,,,,
DIVISLAB,10940,,,,,,,,,
DIVGIITTS,14479,,,,,,,,,
DISHTV,14537,,,,,,,,,
DIL,8657,,,,,,,,,
DIGJAMLMTD,6136,,,,,,,,,
DIXON,21690,,,,,,,,,
DIGISPICE,16683,,,,,,,,,
DIGIDRIVE,21256,,,,,,,,,
DICIND,703,,,,,,,,,
DIAMONDYD,21840,,,,,,,,,
DIAMINESQ,18644,,,,,,,,,
DIACABS,18545,,,,,,,,,
DHUNINV,22233,,,,,,,,,
DIGIKORE,19138,,,,,,,,,
DJML,12753,,,,,,,,,
DKEGL,6249,,,,,,,,,
DLF,14732,,,,,,,,,
DRCSYSTEMS,2645,,,,,,,,,
DPWIRES,16900,,,,,,,,,
DPSCLTD,15419,,,,,,,,,
DPABHUSHAN,936,,,,,,,,,
DONEAR,13839,,,,,,,,,
DOMS,20551,,,,,,,,,
DOLPHIN,18136,,,,,,,,,
DOLLEX,13323,,,,,,,,,
DOLLAR,20560,,,,,,,,,
DOLATALGO,12124,,,,,,,,,
DODLA,4822,,,,,,,,,
DNAMEDIA,641,,,,,,,,,
DMCC,6973,,,,,,,,,
DMART,19913,,,,,,,,,
DLINKINDIA,17851,,,,,,,,,
COROMANDEL,739,,,,,,,,,
CORDSCABLE,15271,,,,,,,,,
CORALFINAC,10115,,,,,,,,,
COOLCAPS,8560,,,,,,,,,
BSL,559,,,,,,,,,
BSHSL,809,,,,,,,,,
BSE,19585,,,,,,,,,
BROOKS,25140,,,,,,,,,
BRNL,21687,,,,,,,,,
BRITANNIA,547,,,,,,,,,
BSOFT,6994,,,,,,,,,
BRIGHT,3901,,,,,,,,,
BPL,530,,,,,,,,,
BPCL,526,,,,,,,,,
BOSCHLTD,2181,,,,,,,,,
BORORENEW,3149,,,,,,,,,
BOROLTD,19401,,,,,,,,,
BRIGADE,15184,,,,,,,,,
BOMDYEING,513,,,,,,,,,
BURNPUR,15194,,,,,,,,,
CAPITALSFB,22675,,,,,,,,,
CAPACITE,21749,,,,,,,,,
CANTABIL,20160,,,,,,,,,
CANFINHOME,583,,,,,,,,,
CANBK,10794,,,,,,,,,
CANARYS,19368,,,,,,,,,
BTML,14150,,,,,,,,,
CAMS,342,,,,,,,,,
CAMLINFINE,6216,,,,,,,,,
CALSOFT,8400,,,,,,,,,
CADSYS,21824,,,,,,,,,
BYKE,7919,,,,,,,,,
BVCL,15073,,,,,,,,,
BUTTERFLY,2716,,,,,,,,,
CAMPUS,9362,,,,,,,,,
BOHRAIND,11641,,,,,,,,,
BODALCHEM,25017,,,,,,,,,
BMETRICS,6052,,,,,,,,,
BINANIIND,13625,,,,,,,,,
BIL,7853,,,,,,,,,
BIKAJI,11966,,,,,,,,,
BIGBLOC,18431,,,,,,,,,
BHINVIT,23036,,,,,,,,,
BHEL,438,,,,,,,,,
BIOCON,11373,,,,,,,,,
BHARTIHEXA,23489,,,,,,,,,
BHARATWIRE,16123,,,,,,,,,
BHARATRAS,3834,,,,,,,,,
BHARATGEAR,426,,,,,,,,,
BHARATFORG,422,,,,,,,,,
BHANDARI,19556,,,,,,,,,
BHALCHANDR,9985,,,,,,,,,
BHARTIARTL,10604,,,,,,,,,
BIOFILCHEM,4136,,,,,,,,,
BIRDYS,23559,,,,,,,,,
BIRET,2203,,,,,,,,,
BLUESTARCO,8311,,,,,,,,,
BLUEPEBBLE,23410,,,,,,,,,
BLUEJET,19686,,,,,,,,,
BLUEDART,495,,,,,,,,,
BLUECHIP,8650,,,,,,,,,
BLSE,22566,,,,,,,,,
BLS,17279,,,,,,,,,
BLKASHYAP,13290,,,,,,,,,
BLISSGVS,19265,,,,,,,,,
BLBLIMITED,8139,,,,,,,,,
BLAL,15067,,,,,,,,,
BKMINDST,5789,,,,,,,,,
BIRLAMONEY,15239,,,,,,,,,
BIRLACORPN,480,,,,,,,,,
BIRLACABLE,477,,,,,,,,,
CAPLIPOINT,3906,,,,,,,,,
ELGIRUBCO,24924,,,,,,,,,
CAPTRUST,19447,,,,,,,,,
CAREERP,20086,,,,,,,,,
CMNL,13731,,,,,,,,,
CMMIPL,99,,,,,,,,,
CLSL,18260,,,,,,,,,
CLSEL,3482,,,,,,,,,
CLOUD,11179,,,,,,,,,
CLEDUCATE,20223,,,,,,,,,
CMRSL,11447,,,,,,,,,
CLEAN,5049,,,,,,,,,
CIPLA,694,,,,,,,,,
CINEVISTA,8028,,,,,,,,,
CINELINE,27161,,,,,,,,,
CIGNITITEC,5142,,,,,,,,,
CIEINDIA,14937,,,,,,,,,
CHOLAHLDNG,21740,,,,,,,,,
CHOLAFIN,685,,,,,,,,,
CMSINFO,7603,,,,,,,,,
COASTCORP,6006,,,,,,,,,
CONTROLPR,17477,,,,,,,,,
CONTI,2531,,,,,,,,,
CONSOFINVT,11731,,,,,,,,,
CONFIPET,10238,,,,,,,,,
CONCORDBIO,18060,,,,,,,,,
CONCOR,4749,,,,,,,,,
COALINDIA,20374,,,,,,,,,
COMSYN,21578,,,,,,,,,
COMMITTED,19513,,,,,,,,,
COLPAL,15141,,,,,,,,,
COFORGE,11543,,,,,,,,,
COFFEEDAY,11165,,,,,,,,,
COCHINSHIP,21508,,,,,,,,,
COMPUSOFT,31138,,,,,,,,,
CHOICEIN,8866,,,,,,,,,
CHEVIOT,9879,,,,,,,,,
CHENNPETRO,2049,,,,,,,,,
CENTENKA,619,,,,,,,,,
CELLPOINT,16950,,,,,,,,,
CELLO,19795,,,,,,,,,
CELLECOR,18806,,,,,,,,,
CELEBRITY,13162,,,,,,,,,
CEATLTD,15254,,,,,,,,,
CENTEXT,11512,,,,,,,,,
CDSL,21174,,,,,,,,,
CCHHL,6385,,,,,,,,,
CBAZAAR,20406,,,,,,,,,
CASTROLIND,1250,,,,,,,,,
CARYSIL,1879,,,,,,,,,
CARTRADE,5407,,,,,,,,,
CARERATING,29113,,,,,,,,,
CCL,11452,,,,,,,,,
CENTRALBK,14894,,,,,,,,,
CENTRUM,2454,,,,,,,,,
CENTUM,14982,,,,,,,,,
CHEMPLASTS,5449,,,,,,,,,
CHEMFAB,2799,,,,,,,,,
CHEMCON,270,,,,,,,,,
CHEMBOND,14618,,,,,,,,,
CHAVDA,18654,,,,,,,,,
CHAMBLFERT,637,,,,,,,,,
CHALET,8546,,,,,,,,,
CGRAPHICS,23468,,,,,,,,,
CGPOWER,760,,,,,,,,,
CGCL,20329,,,,,,,,,
CESC,628,,,,,,,,,
CEREBRAINT,30016,,,,,,,,,
CERA,15039,,,,,,,,,
CENTURYTEX,625,,,,,,,,,
CENTURYPLY,13305,,,,,,,,,
CARBORUNIV,595,,,,,,,,,
LAMBODHARA,6407,,,,,,,,,
LANCORHOL,23027,,,,,,,,,
LANDMARK,13276,,,,,,,,,
SPCENET,19372,,,,,,,,,
SPARC,14788,,,,,,,,,
SPANDANA,11435,,,,,,,,,
SPAL,18252,,,,,,,,,
SOUTHWEST,9678,,,,,,,,,
SOUTHBANK,5948,,,,,,,,,
SPECIALITY,27107,,,,,,,,,
SOTL,3021,,,,,,,,,
SONUINFRA,9458,,,,,,,,,
SONATSOFTW,6596,,,,,,,,,
SONAMLTD,8806,,,,,,,,,
SONAMAC,23052,,,,,,,,,
SONACOMS,4684,,,,,,,,,
SOMICONVEY,17794,,,,,,,,,
SOTAC,14993,,,,,,,,,
SOMATEX,9104,,,,,,,,,
SPECTRUM,5060,,,,,,,,,
SPENCERS,8163,,,,,,,,,
SRPL,143,,,,,,,,,
SRM,23402,,,,,,,,,
SRIVASAVI,14411,,,,,,,,,
SRHHYPOLTD,14582,,,,,,,,,
SRGHFL,18119,,,,,,,,,
SRF,3273,,,,,,,,,
SPECTSTM,16876,,,,,,,,,
SREEL,31837,,,,,,,,,
SPRL,8527,,,,,,,,,
SPORTKING,10733,,,,,,,,,
SPMLINFRA,3321,,,,,,,,,
SPLPETRO,9617,,,,,,,,,
SPLIL,11935,,,,,,,,,
SPIC,3252,,,,,,,,,
SPYL,21099,,,,,,,,,
SSFL,18056,,,,,,,,,
SOMANYCERA,3880,,,,,,,,,
SOLARINDS,13332,,,,,,,,,
SJVN,18883,,,,,,,,,
SJS,6643,,,,,,,,,
SJLOGISTIC,20542,,,,,,,,,
SIYSIL,14096,,,,,,,,,
SIS,21501,,,,,,,,,
SIRCA,11050,,,,,,,,,
SKFINDIA,3186,,,,,,,,,
SINTERCOM,381,,,,,,,,,
SINCLAIR,23480,,,,,,,,,
SIMPLEXINF,9331,,,,,,,,,
SIMBHALS,14612,,,,,,,,,
SILVERTUC,9422,,,,,,,,,
SILLYMONKS,19097,,,,,,,,,
SILKFLEX,23739,,,,,,,,,
SINDHUTRAD,16859,,,,,,,,,
SOLEX,1231,,,,,,,,,
SKIPPER,9428,,,,,,,,,
SKMEGGPROD,4732,,,,,,,,,
SOLARA,3672,,,,,,,,,
SOFTTECH,8266,,,,,,,,,
SOBHA,13826,,,,,,,,,
SNOWMAN,4843,,,,,,,,,
SMVD,850,,,,,,,,,
SMSPHARMA,14329,,,,,,,,,
SKIPPERPP,22829,,,,,,,,,
SMSLIFE,21551,,,,,,,,,
SMLISUZU,3387,,,,,,,,,
SMCGLOBAL,2320,,,,,,,,,
SMARTLINK,9893,,,,,,,,,
SLONE,23692,,,,,,,,,
SKYGOLD,13634,,,,,,,,,
SKP,10325,,,,,,,,,
SMLT,6843,,,,,,,,,
SSWL,11829,,,,,,,,,
STAR,7374,,,,,,,,,
STARCEMENT,21091,,,,,,,,,
SUVENPHAR,17945,,,,,,,,,
SUVEN,11233,,,,,,,,,
SUULD,638,,,,,,,,,
SUTLEJTEX,13801,,,,,,,,,
SURYODAY,2970,,,,,,,,,
SURYAROSNI,3375,,,,,,,,,
SUVIDHAA,2998,,,,,,,,,
SURYALAXMI,11852,,,,,,,,,
SURANAT&P,11595,,,,,,,,,
SURANASOL,21081,,,,,,,,,
SURAJEST,20822,,,,,,,,,
SUPRIYA,7390,,,,,,,,,
SUPREMEPWR,21067,,,,,,,,,
SUPREMEINF,13419,,,,,,,,,
SURANI,8513,,,,,,,,,
SUPREMEIND,3363,,,,,,,,,
SUZLON,12021,,,,,,,,,
SVPGLOB,5020,,,,,,,,,
TAINWALCHM,3396,,,,,,,,,
TAC,23438,,,,,,,,,
SYSTANGO,14506,,,,,,,,,
SYRMA,10793,,,,,,,,,
SYNOPTICS,17203,,,,,,,,,
SYNGENE,10243,,,,,,,,,
SVLL,15121,,,,,,,,,
SYNCOMF,11992,,,,,,,,,
SWSOLAR,12489,,,,,,,,,
SWELECTES,11909,,,,,,,,,
SWASTIK,11492,,,,,,,,,
SWARAJENG,3384,,,,,,,,,
SWARAJ,8608,,,,,,,,,
SWANENERGY,27095,,,,,,,,,
SYMPHONY,24190,,,,,,,,,
SUPREMEENG,1401,,,,,,,,,
SUPRAJIT,11689,,,,,,,,,
SUPERSPIN,8931,,,,,,,,,
SUBEXLTD,967,,,,,,,,,
STYRENIX,19,,,,,,,,,
STYLAMIND,5186,,,,,,,,,
STOVEKRAFT,2107,,,,,,,,,
STLTECH,9309,,,,,,,,,
STERTOOLS,4299,,,,,,,,,
SUBROS,3324,,,,,,,,,
STEL,21484,,,,,,,,,
STEELCITY,10406,,,,,,,,,
STEELCAS,6803,,,,,,,,,
STCINDIA,10948,,,,,,,,,
STARTECK,9314,,,,,,,,,
STARPAPER,3291,,,,,,,,,
STARHEALTH,7083,,,,,,,,,
STEELXIND,21339,,,,,,,,,
SUDARSCHEM,3327,,,,,,,,,
SUKHJITS,11804,,,,,,,,,
SULA,13218,,,,,,,,,
SUPERHOUSE,20616,,,,,,,,,
SUNTV,13404,,,,,,,,,
SUNTECK,17641,,,,,,,,,
SUNREST,20213,,,,,,,,,
SUNPHARMA,3351,,,,,,,,,
SUNFLAG,3348,,,,,,,,,
SUNDRMFAST,3345,,,,,,,,,
SUNDRMBRAK,4179,,,,,,,,,
SUNDARMHLD,2183,,,,,,,,,
SUNDARMFIN,3339,,,,,,,,,
SUNDARAM,18931,,,,,,,,,
SUNCLAY,20956,,,,,,,,,
SUMMITSEC,21275,,,,,,,,,
SUMIT,11141,,,,,,,,,
SUMICHEM,17105,,,,,,,,,
SILINV,4105,,,,,,,,,
TAJGVK,9354,,,,,,,,,
SILGO,2492,,,,,,,,,
SIKKO,6218,,,,,,,,,
SATIN,10453,,,,,,,,,
SATIA,11045,,,,,,,,,
SASTASUNDR,20063,,,,,,,,,
SASKEN,11983,,,,,,,,,
SARVESHWAR,12950,,,,,,,,,
SARTELE,19863,,,,,,,,,
SATINDLTD,12015,,,,,,,,,
SAROJA,18506,,,,,,,,,
SAREGAMA,4892,,,,,,,,,
SARDAEN,17758,,,,,,,,,
SAPPHIRE,6718,,,,,,,,,
SANSERA,5751,,,,,,,,,
SANOFI,1442,,,,,,,,,
SANGINITA,11033,,,,,,,,,
SARLAPOLY,14043,,,,,,,,,
SANGHVIMOV,14058,,,,,,,,,
SAURASHCEM,3018,,,,,,,,,
SBCL,4656,,,,,,,,,
SEAMECLTD,2616,,,,,,,,,
SDBL,1338,,,,,,,,,
SCPL,12072,,,,,,,,,
SCML,19469,,,,,,,,,
SCILAL,23127,,,,,,,,,
SCI,3048,,,,,,,,,
SBC,6792,,,,,,,,,
SCHNEIDER,31234,,,,,,,,,
SCHAEFFLER,1011,,,,,,,,,
SBIN,3045,,,,,,,,,
SBILIFE,21808,,,,,,,,,
SBICARD,17971,,,,,,,,,
SBGLP,14139,,,,,,,,,
SBFC,18026,,,,,,,,,
SCHAND,20698,,,,,,,,,
SECL,13025,,,,,,,,,
SANGHIIND,2997,,,,,,,,,
SANGAMIND,4184,,,,,,,,,
SAHAJ,18354,,,,,,,,,
SAH,13689,,,,,,,,,
SAGCEM,14068,,,,,,,,,
SAGARDEEP,8175,,,,,,,,,
SAFARI,13035,,,,,,,,,
SADHNANIQ,15343,,,,,,,,,
SAHANA,16711,,,,,,,,,
SADHAV,22897,,,,,,,,,
SADBHAV,13240,,,,,,,,,
SABTNL,23367,,,,,,,,,
SABEVENTS,18501,,,,,,,,,
SABAR,10982,,,,,,,,,
SAAKSHI,19093,,,,,,,,,
S&SPOWER,8733,,,,,,,,,
SADBHIN,10618,,,,,,,,,
SANGANI,18035,,,,,,,,,
SAHYADRI,14900,,,,,,,,,
SAIL,2963,,,,,,,,,
SANDUMA,18359,,,,,,,,,
SANDHAR,2397,,,,,,,,,
SANDESH,2988,,,,,,,,,
SAMPANN,27303,,,,,,,,,
SAMHI,18614,,,,,,,,,
SAMBHAAV,9829,,,,,,,,,
SAIFL,21096,,,,,,,,,
SALZERELEC,11399,,,,,,,,,
SALONA,17351,,,,,,,,,
SALASAR,21362,,,,,,,,,
SAKUMA,13251,,,,,,,,,
SAKSOFT,11794,,,,,,,,,
SAKHTISUG,2969,,,,,,,,,
SAKAR,9539,,,,,,,,,
SALSTEEL,11637,,,,,,,,,
SECMARK,19498,,,,,,,,,
SECURCRED,11520,,,,,,,,,
SECURKLOUD,11062,,,,,,,,,
SHREYANIND,3126,,,,,,,,,
SHRENIK,11149,,,,,,,,,
SHREERAMA,7634,,,,,,,,,
SHREEPUSHK,10588,,,,,,,,,
SHREEOSFM,20603,,,,,,,,,
SHREEKARNI,23074,,,,,,,,,
SHREYAS,3129,,,,,,,,,
SHREECEM,3103,,,,,,,,,
SHRADHA,708,,,,,,,,,
SHOPERSTOP,11813,,,,,,,,,
SHK,11212,,,,,,,,,
SHIVAUM,13471,,,,,,,,,
SHIVATEX,804,,,,,,,,,
SHIVAMILLS,1497,,,,,,,,,
SHREDIGCEM,3099,,,,,,,,,
SHIVAMAUTO,13756,,,,,,,,,
SHRIPISTON,17186,,,,,,,,,
SHRIRAMPPS,7200,,,,,,,,,
SIGNPOST,22656,,,,,,,,,
SIGNORIA,23147,,,,,,,,,
SIGNATURE,18743,,,,,,,,,
SIGMA,16658,,,,,,,,,
SIGIND,4522,,,,,,,,,
SIGACHI,6663,,,,,,,,,
SHRIRAMFIN,4306,,,,,,,,,
SIEMENS,3150,,,,,,,,,
SICALLOG,19440,,,,,,,,,
SHYAMTEL,13741,,,,,,,,,
SHYAMMETL,4693,,,,,,,,,
SHYAMCENT,10192,,,,,,,,,
SHUBHLAXMI,6451,,,,,,,,,
SHRITECH,17684,,,,,,,,,
SIDDHIKA,3148,,,,,,,,,
SHIVALIK,7016,,,,,,,,,
SHILPAMED,17752,,,,,,,,,
SHIGAN,8394,,,,,,,,,
SFL,19184,,,,,,,,,
SEYAIND,10836,,,,,,,,,
SETCO,17518,,,,,,,,,
SESHAPAPER,3066,,,,,,,,,
SERVOTECH,5507,,,,,,,,,
SERVICE,17399,,,,,,,,,
SGIL,5114,,,,,,,,,
SEQUENT,14296,,,,,,,,,
SENCO,17271,,,,,,,,,
SEMAC,11961,,,,,,,,,
SELMC,6262,,,,,,,,,
SELAN,13598,,,,,,,,,
SEL,18264,,,,,,,,,
SEJALLTD,7094,,,,,,,,,
SEPC,15308,,,,,,,,,
SGL,13367,,,,,,,,,
SHAH,20296,,,,,,,,,
SHAHALLOYS,11856,,,,,,,,,
SHERA,14172,,,,,,,,,
SHEMAROO,5068,,,,,,,,,
SHEETAL,20426,,,,,,,,,
SHAREINDIA,104,,,,,,,,,
SHARDAMOTR,10530,,,,,,,,,
SHARDACROP,4992,,,,,,,,,
SHANTIGEAR,3078,,,,,,,,,
SHANTI,5655,,,,,,,,,
SHANTHALA,19752,,,,,,,,,
SHANKARA,20321,,,,,,,,,
SHALPAINTS,15342,,,,,,,,,
SHALBY,714,,,,,,,,,
